conversation_id,user_id,subject,timestamp
6962181067_1746815064,6962181067,"""Enhancing Your Walk: Fun Tips for Sophie""",2025-05-09T20:24:36.238578
6962181067_1746815471,6962181067,"""Weight Management Insights and Routine Adjustments for Sophie""",2025-05-09T20:31:43.124389
6962181067_1746976213,6962181067,"""Step Goal Strategies for Sophie: Boosting Daily Activity""",2025-05-11T17:10:31.852132
6962181067_1746988513,6962181067,"""Strategies for Increasing Daily Walking to Reach Step Goals""",2025-05-11T20:35:28.130025
6962181067_1746988779,6962181067,"""Strategies for Increasing Daily Walking to Achieve Step Goals""",2025-05-11T20:39:53.545711
6962181067_1746989711,6962181067,"""Motivational Strategies for Weight Management: A Conversation with Sophie""",2025-05-11T20:55:20.731488
6962181067_1747053739,6962181067,"""Tips for Increasing Daily Step Count: A Conversation with Sophie""",2025-05-12T14:42:35.869816
6962181067_1747054844,6962181067,Improving Sleep Quality: Tips for Better Rest,2025-05-12T15:01:12.370426
6962181067_1747075215,6962181067,"""Strategies to Reduce Sedentary Time for a Healthier Lifestyle""",2025-05-12T20:40:32.555294
6962181067_1747075583,6962181067,"""Understanding the Impact of Reduced Active Minutes on Energy Levels: A Case Study for Sophie""",2025-05-12T20:46:44.487451
6962181067_1747075952,6962181067,"""Calorieverbranding: Tips voor Sophie om 300 Calorieën te Verbranden vanavond""",2025-05-12T20:52:45.546895
6962181067_1747076119,6962181067,Calorieverbranding tijdens een voetbalwedstrijd voor vrouwen,2025-05-12T20:55:31.125337
6962181067_1747124592,6962181067,"""Tips for Increasing Daily Step Count: A Guide for Sophie""",2025-05-13T10:23:24.134908
6962181067_1747124918,6962181067,"""Sleep Quality Improvement Tips for Sophie""",2025-05-13T10:28:50.306791
6962181067_1747125247,6962181067,"""Improving Sleep Quality: Tailored Tips for Better Rest""",2025-05-13T10:34:31.736521
6962181067_1747300721,6962181067,"""Strategies for Increasing Daily Steps: A Guide for Sophie""",2025-05-15T11:18:51.146354
6962181067_1747301040,6962181067,"""Effective Strategies to Increase Daily Steps for a Healthier Lifestyle""",2025-05-15T11:24:14.605759
6962181067_1747301105,6962181067,"""Tips for Sophie to Improve Her 10-Mile Running Time""",2025-05-15T11:25:21.824433
6962181067_1747301529,6962181067,Oefeningen voor een Actieve Lunchpauze: Tips voor Sophie,2025-05-15T11:32:21.490369
6962181067_1747321509,6962181067,"""Strategies for Increasing Daily Step Count: Tips for Sophie""",2025-05-15T17:05:24.107964
6962181067_1747321798,6962181067,"""Effective Strategies for Increasing Daily Step Count""",2025-05-15T17:10:07.241144
6962181067_1747322744,6962181067,"""Improving Sleep Quality: Personalized Tips for Sophie""",2025-05-15T17:26:10.849811
6962181067_1748693892,6962181067,"""Tips for Improving Sleep Quality: A Guide for Sophie""",2025-05-31T14:18:24.725461
6962181067_1748695364,6962181067,"""Tips for Improving Sleep Quality for Better Daytime Rest""",2025-05-31T14:42:53.433654
6962181067_1748695413,6962181067,"""Tips for Improving Sleep Quality and Daytime Restfulness""",2025-05-31T14:43:41.742479
